@relation RFM-weka.filters.unsupervised.attribute.AddNoise-Clast-P30-S2

@attribute R numeric
@attribute F numeric
@attribute M numeric
@attribute class {poly-kalos,pistos,avevaios,efkairia,adiaforos,palia-eykairia,proin-pistos,proin-kalos}

@data
39,2,149,avevaios
65,1,55,avevaios
51,2,263,adiaforos
65,2,336,avevaios
2,1,124,avevaios
7,1,208,avevaios
0,2,583,avevaios
27,2,197,avevaios
32,2,338,avevaios
33,1,100,palia-eykairia
81,1,445,pistos
1,2,349,avevaios
25,2,130,avevaios
11,1,250,avevaios
41,1,155,avevaios
12,1,162,avevaios
61,1,67,avevaios
26,2,447,avevaios
4,1,65,proin-kalos
25,1,476,avevaios
8,1,297,avevaios
4,1,46,avevaios
18,2,268,avevaios
25,1,50,avevaios
30,1,87,avevaios
8,1,215,proin-kalos
9,1,118,avevaios
3,2,254,avevaios
81,2,397,avevaios
33,1,167,efkairia
0,1,21,avevaios
26,1,112,avevaios
107,1,0,avevaios
110,1,164,proin-pistos
68,1,131,avevaios
81,2,387,avevaios
8,1,50,avevaios
82,1,122,avevaios
8,1,412,avevaios
41,2,391,avevaios
9,2,729,avevaios
2,1,161,avevaios
40,1,181,avevaios
109,1,76,avevaios
32,1,79,avevaios
20,2,0,avevaios
32,1,13,avevaios
10,1,6,efkairia
4,1,128,palia-eykairia
9,1,59,avevaios
33,1,414,avevaios
29,2,168,proin-pistos
8,1,200,avevaios
18,2,400,avevaios
30,1,139,palia-eykairia
76,2,399,avevaios
20,1,197,avevaios
4,2,53,avevaios
91,1,290,avevaios
99,2,378,palia-eykairia
85,1,122,avevaios
25,1,76,avevaios
4,1,84,avevaios
41,1,366,avevaios
8,1,50,avevaios
88,1,0,efkairia
4,2,26,avevaios
79,1,508,avevaios
75,1,143,avevaios
95,1,661,avevaios
78,1,193,efkairia
32,1,84,efkairia
81,1,109,avevaios
37,1,86,poly-kalos
41,1,718,poly-kalos
4,2,327,avevaios
68,2,212,avevaios
60,1,126,adiaforos
109,1,71,proin-pistos
26,1,182,avevaios
7,2,729,avevaios
2,2,616,avevaios
1,2,173,avevaios
20,1,242,avevaios
0,2,291,avevaios
15,1,62,avevaios
15,1,47,avevaios
1,1,59,avevaios
27,2,492,avevaios
34,1,101,avevaios
91,1,214,avevaios
70,1,84,avevaios
7,1,94,avevaios
0,1,532,avevaios
81,1,181,avevaios
19,1,398,pistos
0,1,208,palia-eykairia
18,2,355,proin-pistos
85,2,435,adiaforos
56,1,82,proin-pistos
32,1,453,avevaios
16,1,26,avevaios
2,1,0,palia-eykairia
2,1,12,avevaios
61,1,21,avevaios
15,1,524,avevaios
103,2,174,avevaios
85,1,502,avevaios
102,1,283,adiaforos
36,1,122,proin-pistos
25,1,253,avevaios
25,2,230,proin-kalos
7,2,300,avevaios
7,2,620,avevaios
109,1,193,avevaios
93,1,563,avevaios
20,2,214,avevaios
7,1,474,adiaforos
97,2,739,avevaios
10,1,220,pistos
2,1,92,avevaios
39,1,130,poly-kalos
11,1,215,adiaforos
97,2,428,avevaios
2,2,113,avevaios
29,2,235,avevaios
13,2,407,avevaios
50,1,210,avevaios
67,1,105,proin-kalos
20,1,30,avevaios
0,1,206,palia-eykairia
11,1,65,avevaios
83,1,303,avevaios
13,1,138,proin-kalos
1,1,3,proin-pistos
99,1,61,avevaios
26,1,223,avevaios
8,1,282,adiaforos
30,1,112,avevaios
10,1,176,avevaios
84,1,105,avevaios
0,2,450,proin-pistos
47,1,492,avevaios
8,1,176,avevaios
68,1,17,avevaios
102,2,1,avevaios
15,2,101,avevaios
67,1,697,proin-pistos
25,1,82,avevaios
36,1,343,adiaforos
111,1,261,avevaios
82,2,693,avevaios
23,1,250,proin-kalos
7,2,729,avevaios
25,1,138,avevaios
7,1,237,poly-kalos
32,1,143,avevaios
8,2,273,avevaios
4,1,288,avevaios
28,2,210,avevaios
7,1,335,avevaios
19,2,105,proin-kalos
26,1,103,avevaios
12,1,0,avevaios
26,1,17,efkairia
56,1,161,avevaios
1,2,254,avevaios
7,1,153,efkairia
51,1,224,avevaios
1,1,532,proin-pistos
48,1,414,avevaios
112,1,198,palia-eykairia
77,2,359,efkairia
91,1,50,avevaios
14,2,676,avevaios
84,1,34,avevaios
26,1,415,proin-kalos
10,1,81,avevaios
1,1,94,palia-eykairia
53,1,148,efkairia
82,2,245,avevaios
65,1,128,avevaios
11,1,134,avevaios
0,2,461,poly-kalos
68,1,373,avevaios
16,2,583,avevaios
112,1,66,avevaios
102,1,50,avevaios
98,1,704,avevaios
95,1,181,avevaios
92,1,102,avevaios
26,1,105,avevaios
112,1,176,avevaios
21,1,118,avevaios
62,1,0,avevaios
7,1,85,avevaios
63,2,418,adiaforos
102,1,261,avevaios
95,1,147,avevaios
81,1,441,avevaios
75,1,21,palia-eykairia
7,2,99,pistos
47,1,151,avevaios
43,1,92,avevaios
30,1,349,avevaios
16,1,0,proin-pistos
7,1,220,palia-eykairia
0,1,147,poly-kalos
65,1,311,palia-eykairia
1,1,182,poly-kalos
2,2,718,avevaios
51,1,13,avevaios
97,1,269,proin-kalos
74,1,193,avevaios
81,1,143,avevaios
95,2,300,adiaforos
2,2,681,proin-pistos
62,2,303,avevaios
90,2,336,poly-kalos
109,1,120,avevaios
85,2,475,avevaios
83,1,420,avevaios
18,2,494,avevaios
81,1,50,avevaios
62,1,193,poly-kalos
55,1,4,avevaios
46,1,109,avevaios
34,1,0,pistos
30,1,218,proin-pistos
21,1,159,avevaios
20,1,85,avevaios
14,2,238,avevaios
19,1,129,avevaios
13,1,539,avevaios
11,1,412,avevaios
11,1,124,avevaios
8,1,321,pistos
8,1,109,avevaios
2,1,153,avevaios
2,1,59,avevaios
2,1,29,poly-kalos
0,1,12,avevaios
0,1,67,avevaios
11,1,368,avevaios
39,1,265,avevaios
42,1,398,avevaios
0,1,155,avevaios
4,1,106,avevaios
57,1,223,pistos
1,1,67,avevaios
4,1,0,avevaios
8,1,0,avevaios
71,2,217,avevaios
107,2,307,avevaios
109,1,105,avevaios
107,1,202,avevaios
106,1,95,avevaios
96,2,324,adiaforos
97,1,151,avevaios
83,1,4,avevaios
69,1,143,pistos
61,1,0,avevaios
27,2,210,avevaios
12,1,685,proin-pistos
7,1,134,avevaios
0,2,49,avevaios
3,1,55,avevaios
0,1,135,avevaios
9,2,303,avevaios
100,1,357,avevaios
90,1,329,avevaios
89,1,248,avevaios
76,1,252,avevaios
74,1,210,pistos
70,1,218,proin-pistos
40,1,210,adiaforos
19,1,218,palia-eykairia
7,1,165,efkairia
109,1,59,avevaios
33,1,105,avevaios
104,1,202,poly-kalos
3,1,65,proin-pistos
7,2,319,avevaios
81,2,308,avevaios
104,2,483,avevaios
92,1,227,avevaios
83,1,521,efkairia
81,1,134,avevaios
76,1,97,avevaios
57,1,408,avevaios
53,1,395,avevaios
47,1,50,avevaios
22,1,185,avevaios
7,1,231,proin-kalos
3,1,76,avevaios
2,1,79,avevaios
0,1,176,avevaios
8,2,487,proin-kalos
4,2,217,proin-pistos
9,1,0,avevaios
2,2,177,avevaios
107,1,207,palia-eykairia
89,1,504,avevaios
85,1,420,avevaios
61,1,706,avevaios
43,1,761,proin-kalos
33,1,208,avevaios
10,1,65,proin-kalos
4,1,3,efkairia
2,1,368,avevaios
2,1,313,avevaios
20,1,99,avevaios
2,1,29,avevaios
39,1,148,avevaios
39,1,168,avevaios
37,1,74,avevaios
34,1,134,proin-kalos
26,2,214,avevaios
33,1,103,avevaios
32,1,39,poly-kalos
32,1,133,efkairia
32,1,124,avevaios
29,1,55,avevaios
29,1,231,avevaios
28,1,193,avevaios
27,1,57,avevaios
27,1,40,avevaios
26,1,76,avevaios
25,1,229,adiaforos
22,1,34,pistos
22,1,202,avevaios
20,1,59,proin-pistos
18,1,133,avevaios
18,1,65,efkairia
16,1,214,avevaios
16,1,69,avevaios
15,1,92,avevaios
14,1,49,poly-kalos
13,1,13,proin-kalos
12,1,143,avevaios
12,1,97,efkairia
11,1,37,avevaios
11,1,222,avevaios
11,1,63,avevaios
11,1,96,avevaios
11,1,40,proin-pistos
9,1,300,avevaios
9,1,50,avevaios
8,1,53,avevaios
8,1,128,avevaios
8,1,66,avevaios
8,1,40,avevaios
2,2,69,palia-eykairia
7,1,84,avevaios
7,1,416,avevaios
7,1,166,poly-kalos
7,1,189,avevaios
4,1,699,palia-eykairia
4,1,190,proin-kalos
4,1,455,avevaios
4,1,17,avevaios
4,1,39,palia-eykairia
2,1,300,proin-pistos
